order_item_id,order_id,product_id,quantity,unit_price
1,1,119,2,16.96
2,1,174,1,23.13
3,1,8,3,3.42
4,1,162,2,27.63
5,1,173,1,76.28
6,2,47,3,63.82
7,3,39,3,74.28
8,3,15,3,72.81
9,4,120,1,41.53
10,4,133,3,88.32
11,4,44,1,51.31
12,4,185,2,91.06
13,5,116,2,40.98
14,6,49,1,93.71
15,7,121,3,93.04
16,7,200,1,35.79
17,8,166,2,46.34
18,8,51,2,80.58
19,8,29,1,47.37
20,9,54,3,28.16
21,9,146,3,74.84
22,10,2,1,19.07
23,10,1,2,22.34
24,10,34,1,90.43
25,10,104,1,35.86
26,11,24,1,86.52
27,11,35,2,45.87
28,11,1,2,22.34
29,12,2,1,19.07
30,12,125,2,18.62
31,12,7,3,45.34
32,12,150,1,60.0
33,13,97,3,1.49
34,14,65,3,41.26
35,15,181,1,10.94
36,15,21,3,85.32
37,15,18,1,68.05
38,15,176,3,83.64
39,15,156,2,57.94
40,16,153,1,43.59
41,16,96,1,52.96
42,16,99,3,20.89
43,17,113,1,27.76
44,17,77,1,39.5
45,17,139,3,32.14
46,18,45,2,8.29
47,18,32,3,66.97
48,18,196,2,18.81
49,18,57,3,60.72
50,18,81,2,4.48
51,19,133,1,88.32
52,19,1,2,22.34
53,20,157,1,88.69
54,20,77,2,39.5
55,20,181,2,10.94
56,20,21,1,85.32
57,20,126,3,62.77
58,21,56,2,36.39
59,21,12,3,53.01
60,21,100,1,13.84
61,21,22,1,93.74
62,22,64,2,26.42
63,22,107,1,84.03
64,22,126,1,62.77
65,23,68,1,19.98
66,23,71,3,28.07
67,23,22,2,93.74
68,23,104,2,35.86
69,24,106,3,3.09
70,24,98,1,41.86
71,24,165,1,90.83
72,25,5,3,41.02
73,25,132,2,12.67
74,26,41,1,64.02
75,26,76,3,10.24
76,26,85,3,85.35
77,26,195,2,47.38
78,27,43,1,16.15
79,27,119,3,16.96
80,28,154,3,47.32
81,28,24,1,86.52
82,28,187,2,35.19
83,28,111,2,22.51
84,29,14,1,15.57
85,30,154,2,47.32
86,30,70,2,85.62
87,30,165,2,90.83
88,30,86,2,24.15
89,31,141,3,97.75
90,31,130,2,62.46
91,31,117,1,75.9
92,31,17,2,82.39
93,32,179,3,85.79
94,33,155,1,75.48
95,33,56,3,36.39
96,34,57,3,60.72
97,34,153,1,43.59
98,34,42,2,44.91
99,34,86,2,24.15
100,35,168,1,16.54
101,35,84,2,28.79
102,35,101,3,16.05
103,35,60,2,56.64
104,36,151,3,36.77
105,36,154,3,47.32
106,36,140,3,9.44
107,37,156,3,57.94
108,38,24,2,86.52
109,38,38,3,38.09
110,38,63,1,51.43
111,38,108,2,12.74
112,38,41,2,64.02
113,39,85,2,85.35
114,39,24,2,86.52
115,39,22,1,93.74
116,39,161,3,21.52
117,39,176,3,83.64
118,40,23,1,96.76
119,41,2,3,19.07
120,41,161,2,21.52
121,42,195,1,47.38
122,42,7,1,45.34
123,42,165,2,90.83
124,42,59,1,60.5
125,42,138,2,15.26
126,43,47,3,63.82
127,43,149,1,73.08
128,43,87,1,92.64
129,43,54,1,28.16
130,44,3,1,9.55
131,45,6,3,96.88
132,45,163,1,9.21
133,45,84,1,28.79
134,45,84,2,28.79
135,46,27,2,92.23
136,46,152,1,17.21
137,46,134,1,82.52
138,47,14,3,15.57
139,47,61,3,92.49
140,47,81,1,4.48
141,48,186,1,27.48
142,49,155,2,75.48
143,49,176,2,83.64
144,49,192,2,26.0
145,49,190,1,55.19
146,49,113,2,27.76
147,50,57,1,60.72
148,50,37,2,94.21
149,51,4,1,4.76
150,51,82,2,81.67
151,52,58,1,41.82
152,52,82,2,81.67
153,52,185,1,91.06
154,53,87,2,92.64
155,53,116,1,40.98
156,53,58,2,41.82
157,54,48,2,51.52
158,54,144,3,61.14
159,54,125,2,18.62
160,54,33,2,70.77
161,54,98,3,41.86
162,55,104,2,35.86
163,55,88,3,28.46
164,55,12,2,53.01
165,55,177,2,55.21
166,56,184,1,12.28
167,56,175,2,5.85
168,56,162,3,27.63
169,56,170,1,48.48
170,57,116,3,40.98
171,58,167,3,69.9
172,58,175,3,5.85
173,58,2,2,19.07
174,58,13,3,24.24
175,58,25,3,77.71
176,59,16,1,62.51
177,59,131,1,49.3
178,59,48,3,51.52
179,59,148,3,75.01
180,60,73,1,21.82
181,60,195,3,47.38
182,60,186,3,27.48
183,60,111,2,22.51
184,61,165,2,90.83
185,61,134,2,82.52
186,62,132,2,12.67
187,63,191,3,73.1
188,63,56,3,36.39
189,63,27,3,92.23
190,64,147,3,22.88
191,64,103,1,91.81
192,64,40,2,47.83
193,64,68,1,19.98
194,65,109,2,17.75
195,65,142,1,94.28
196,65,176,2,83.64
197,65,161,2,21.52
198,66,141,3,97.75
199,66,6,1,96.88
200,66,13,3,24.24
201,66,152,3,17.21
202,66,101,1,16.05
203,67,89,2,48.78
204,67,7,1,45.34
205,67,123,2,86.64
206,67,107,2,84.03
207,67,115,1,15.31
208,68,12,2,53.01
209,68,49,1,93.71
210,68,157,3,88.69
211,68,54,1,28.16
212,68,28,1,15.59
213,69,118,2,55.59
214,70,79,2,66.85
215,70,120,1,41.53
216,70,139,2,32.14
217,71,87,3,92.64
218,71,183,2,99.07
219,71,193,3,92.29
220,71,21,2,85.32
221,71,169,2,6.39
222,72,163,1,9.21
223,72,52,3,28.97
