order_id,customer_id,order_date,order_status,total_amount
1,984,2026-04-26,completed,195.48
2,138,2025-08-30,completed,493.5
3,62,2026-04-15,returned,296.42
4,284,2025-11-15,cancelled,377.57
5,439,2025-09-19,cancelled,150.44
6,604,2025-11-20,completed,469.21
7,914,2026-04-18,returned,225.12
8,733,2026-03-20,returned,293.23
9,48,2025-10-13,completed,331.41
10,526,2026-03-21,returned,265.45
11,651,2025-12-16,returned,327.03
12,880,2025-10-24,returned,350.64
13,63,2025-10-13,returned,350.4
14,362,2026-01-31,returned,148.85
15,872,2026-01-29,returned,104.72
16,540,2025-08-01,returned,464.81
17,189,2026-01-14,completed,197.15
18,344,2026-02-27,completed,41.37
19,742,2025-11-24,returned,383.14
20,728,2025-07-17,completed,274.87
21,932,2025-07-10,returned,83.04
22,163,2025-10-14,returned,303.87
23,525,2026-02-14,completed,499.73
24,451,2026-06-02,completed,344.02
25,855,2026-04-02,completed,339.88
26,265,2025-07-19,returned,169.84
27,276,2025-08-16,completed,155.62
28,870,2026-05-11,cancelled,306.25
29,517,2025-11-29,returned,371.7
30,649,2026-01-23,returned,33.52
31,406,2026-04-01,cancelled,430.0
32,954,2025-12-12,cancelled,255.11
33,230,2025-07-15,returned,163.76
34,414,2025-07-26,returned,92.34
35,556,2025-10-11,returned,218.92
36,134,2026-02-26,completed,491.46
37,223,2025-10-23,completed,491.73
38,987,2026-05-14,completed,181.54
39,387,2025-12-06,completed,277.9
40,858,2025-11-12,completed,461.93
41,177,2026-05-25,cancelled,105.27
42,902,2026-06-11,returned,445.0
43,446,2025-11-08,returned,119.7
44,769,2026-03-12,returned,426.32
45,38,2026-04-30,returned,292.82
46,317,2025-07-29,completed,80.58
47,579,2025-07-19,completed,269.18
48,423,2026-06-14,cancelled,349.83
49,903,2026-05-12,returned,311.94
50,508,2025-07-16,completed,291.64
51,471,2026-04-15,returned,443.3
52,996,2026-04-04,cancelled,382.42
53,432,2025-07-13,completed,339.64
54,486,2026-05-16,returned,207.98
55,774,2026-04-24,returned,291.47
56,423,2026-04-25,cancelled,124.23
57,703,2026-04-09,completed,258.06
58,795,2025-09-25,cancelled,465.7
59,777,2026-03-07,cancelled,24.98
60,502,2025-08-05,returned,268.9
61,898,2026-01-17,completed,63.41
62,456,2026-05-04,cancelled,143.68
63,760,2026-06-08,completed,208.31
64,463,2025-11-14,completed,339.86
65,13,2026-05-22,cancelled,329.39
66,198,2026-02-17,returned,343.8
67,545,2025-11-14,completed,66.6
68,179,2026-02-11,cancelled,218.3
69,365,2026-06-16,returned,42.15
70,740,2026-01-05,returned,169.84
71,999,2026-04-08,cancelled,198.93
72,171,2026-05-28,returned,207.23
73,153,2026-04-05,completed,199.0
74,564,2026-01-14,returned,29.97
75,389,2025-07-29,returned,271.52
76,996,2026-06-18,returned,124.13
77,479,2025-09-27,completed,246.85
78,344,2026-06-07,returned,240.0
79,630,2026-04-06,returned,89.28
80,18,2025-10-31,cancelled,313.46
81,552,2026-06-19,completed,365.73
82,490,2026-03-27,completed,30.2
83,497,2025-07-17,completed,385.79
84,451,2026-06-09,returned,31.62
85,106,2025-10-03,returned,346.43
86,896,2026-05-29,cancelled,89.64
87,329,2026-03-23,returned,246.87
88,514,2025-12-13,cancelled,73.57
89,16,2026-02-13,cancelled,112.56
90,192,2026-05-27,cancelled,470.93
91,573,2026-03-04,cancelled,411.99
92,286,2025-12-18,completed,409.83
93,277,2025-12-10,returned,238.69
94,406,2026-03-07,returned,204.88
95,655,2025-08-24,cancelled,451.96
96,340,2026-04-22,cancelled,24.03
97,193,2026-02-21,cancelled,70.3
98,163,2026-06-02,returned,485.12
99,279,2026-03-16,completed,256.02
100,584,2025-10-13,cancelled,473.98
101,216,2026-04-08,completed,241.03
102,69,2025-11-27,returned,479.32
103,649,2026-03-30,cancelled,228.71
104,850,2025-11-24,completed,436.54
105,946,2026-02-05,completed,429.02
106,548,2025-07-10,cancelled,185.34
107,431,2025-08-27,returned,477.29
108,889,2025-08-18,completed,436.36
109,472,2026-01-13,cancelled,170.6
110,558,2025-08-02,completed,138.52
111,931,2025-12-07,completed,416.37
112,533,2026-05-21,cancelled,366.41
113,629,2026-06-14,cancelled,70.8
114,680,2025-09-25,completed,263.68
115,921,2025-09-20,completed,81.53
116,764,2025-08-10,returned,487.86
117,42,2026-04-08,completed,438.01
118,134,2026-03-23,cancelled,24.76
119,996,2025-09-29,returned,207.55
120,836,2025-11-28,cancelled,234.2
121,79,2025-09-02,cancelled,150.57
122,890,2025-07-04,cancelled,464.17
123,393,2026-03-10,returned,308.71
124,338,2025-09-12,returned,396.97
125,711,2025-07-17,returned,333.3
126,990,2026-05-18,cancelled,364.28
127,390,2025-11-02,returned,200.99
128,701,2025-11-15,cancelled,444.14
129,152,2025-08-23,completed,242.21
130,516,2025-12-28,returned,438.34
131,115,2025-11-16,cancelled,52.68
132,439,2026-04-09,completed,175.85
133,296,2025-08-20,returned,168.17
134,272,2026-03-27,cancelled,334.39
135,253,2026-06-06,completed,437.32
136,691,2025-08-07,returned,366.26
137,730,2025-09-19,returned,35.48
138,126,2025-09-28,returned,260.64
139,209,2025-08-01,returned,49.37
140,678,2026-02-17,cancelled,28.9
141,53,2026-05-13,completed,300.58
142,238,2025-09-12,returned,414.25
143,732,2025-11-02,returned,212.12
144,350,2026-02-13,cancelled,26.87
145,876,2025-07-02,returned,34.48
146,435,2026-01-05,cancelled,122.44
147,786,2025-08-21,cancelled,213.31
148,800,2026-04-19,returned,170.65
149,968,2026-04-08,cancelled,60.05
150,363,2025-12-12,returned,29.02
151,171,2026-04-11,completed,153.11
152,360,2026-06-14,cancelled,57.49
153,915,2025-07-17,cancelled,166.51
154,914,2026-04-29,completed,54.2
155,720,2026-01-01,cancelled,74.04
156,816,2025-08-14,completed,455.42
157,670,2026-04-15,cancelled,264.68
158,806,2026-03-10,completed,21.6
159,641,2026-05-17,cancelled,367.11
160,301,2025-10-22,returned,174.15
161,271,2026-05-10,completed,414.08
162,92,2026-03-18,completed,373.46
163,805,2026-03-23,cancelled,297.99
164,892,2025-09-18,returned,13.71
165,281,2025-12-22,returned,148.87
166,430,2026-01-02,cancelled,374.93
167,458,2025-07-16,completed,461.64
168,251,2026-02-26,returned,119.56
169,146,2025-09-08,completed,158.5
170,112,2025-08-20,completed,479.04
171,585,2025-11-22,cancelled,463.86
172,413,2026-01-11,returned,202.42
173,275,2026-01-18,completed,38.93
174,564,2026-01-09,returned,20.06
175,492,2026-03-16,completed,56.05
176,37,2025-08-28,cancelled,422.87
177,507,2026-02-14,completed,202.83
178,300,2025-10-14,cancelled,374.59
179,468,2026-03-24,returned,28.06
180,793,2026-03-24,cancelled,171.63
181,659,2026-01-09,completed,232.48
182,305,2026-01-21,cancelled,383.3
183,882,2026-02-18,returned,93.85
184,288,2026-06-19,returned,87.98
185,162,2025-08-18,returned,315.63
186,563,2025-10-19,completed,188.56
187,297,2025-10-21,completed,167.59
188,10,2026-03-21,completed,407.71
189,461,2025-10-17,completed,313.69
190,892,2025-12-16,returned,249.12
191,544,2025-11-09,completed,328.0
192,563,2026-05-12,cancelled,488.93
193,403,2025-07-19,returned,465.31
194,284,2026-05-17,returned,73.18
195,475,2025-10-18,returned,249.39
196,678,2025-06-30,returned,285.66
197,582,2025-06-28,completed,487.43
198,819,2025-09-14,completed,86.46
199,924,2026-02-03,cancelled,282.93
200,102,2026-06-15,returned,309.12
201,101,2025-11-14,completed,247.99
202,245,2026-05-06,returned,75.77
203,217,2026-05-24,returned,420.37
204,942,2025-08-13,completed,39.64
205,989,2026-03-02,returned,433.05
206,172,2025-08-15,completed,348.6
207,433,2025-07-20,completed,253.83
208,495,2025-08-03,returned,132.44
209,934,2025-08-12,returned,128.1
210,782,2025-12-31,returned,44.49
211,789,2025-10-22,returned,416.47
212,73,2026-02-18,cancelled,116.33
213,247,2025-08-17,cancelled,308.74
214,623,2025-10-05,completed,295.93
215,641,2025-07-21,completed,371.8
216,47,2026-02-16,completed,233.12
217,807,2025-11-03,returned,223.94
218,6,2025-11-05,returned,130.07
219,209,2026-01-01,cancelled,404.47
220,612,2026-04-20,completed,314.57
221,707,2025-11-01,completed,387.4
222,21,2025-10-13,returned,203.15
223,386,2026-05-14,cancelled,131.73
224,44,2025-10-18,returned,417.94
225,793,2026-02-10,returned,313.37
226,133,2025-07-04,cancelled,470.09
227,544,2026-05-04,returned,458.39
228,828,2026-05-21,cancelled,298.03
229,614,2026-04-16,cancelled,237.23
230,934,2025-09-20,cancelled,135.61
231,507,2026-01-28,cancelled,442.18
232,628,2026-05-21,completed,142.74
233,724,2025-10-14,cancelled,358.79
234,788,2025-10-15,returned,25.25
235,319,2026-01-12,cancelled,135.55
236,568,2026-05-12,returned,154.8
237,53,2025-11-07,completed,93.64
238,196,2025-09-01,returned,44.87
239,283,2026-01-24,cancelled,479.64
240,582,2025-11-03,returned,221.01
241,390,2025-12-28,completed,269.41
242,779,2025-11-13,cancelled,58.07
243,942,2025-12-06,cancelled,231.38
244,90,2026-06-04,cancelled,46.08
245,701,2026-01-08,completed,223.76
246,296,2025-09-21,cancelled,457.54
247,24,2026-03-30,returned,80.45
248,888,2026-01-18,cancelled,416.72
249,932,2025-09-25,cancelled,291.3
250,245,2025-11-30,completed,28.15
251,563,2026-02-28,returned,481.49
252,111,2025-10-02,cancelled,235.8
253,353,2026-01-29,returned,370.61
254,77,2025-12-14,returned,310.13
255,154,2025-07-13,returned,27.87
256,90,2025-12-21,cancelled,216.07
257,830,2026-01-16,completed,88.58
258,293,2026-02-18,returned,276.49
259,257,2025-09-04,completed,157.85
260,606,2025-09-28,completed,196.77
261,68,2025-08-20,completed,199.88
262,639,2026-04-04,completed,160.87
263,280,2025-07-04,returned,59.24
264,814,2025-09-05,cancelled,122.51
265,985,2025-11-28,cancelled,473.4
266,975,2025-10-07,cancelled,277.86
267,987,2025-11-30,completed,109.73
268,10,2026-04-28,cancelled,291.62
269,286,2025-12-01,cancelled,478.44
270,733,2026-02-12,cancelled,149.8
271,329,2026-06-04,cancelled,147.1
272,820,2026-06-14,cancelled,167.5
273,560,2026-04-22,cancelled,329.96
274,577,2025-11-06,returned,196.63
275,752,2026-05-23,cancelled,20.52
276,793,2026-01-07,cancelled,40.88
277,534,2025-11-12,returned,316.78
278,879,2025-11-09,returned,458.43
279,966,2026-01-01,returned,69.5
280,483,2025-11-26,completed,266.68
281,225,2025-10-23,returned,108.78
282,618,2026-06-17,cancelled,326.25
283,21,2026-02-26,returned,45.71
284,933,2025-12-28,cancelled,264.4
285,698,2025-11-26,cancelled,49.45
286,340,2026-06-10,returned,388.09
287,650,2026-02-09,cancelled,41.54
288,3,2026-03-24,completed,321.35
289,480,2025-08-02,cancelled,301.26
290,467,2026-04-22,cancelled,469.38
291,177,2025-07-18,cancelled,14.8
292,20,2026-01-25,returned,174.06
293,107,2026-06-02,completed,15.75
294,802,2026-04-15,returned,73.22
295,681,2025-12-17,completed,84.82
296,61,2025-07-07,cancelled,407.93
297,89,2025-09-25,cancelled,110.28
298,462,2026-04-24,returned,127.13
299,647,2026-01-30,completed,343.32
300,62,2025-09-30,completed,80.75
301,441,2025-09-10,completed,243.47
302,102,2025-12-25,returned,281.96
303,74,2025-07-21,cancelled,216.68
304,398,2025-10-23,returned,449.97
305,426,2026-01-01,returned,253.99
306,683,2025-09-21,completed,40.56
307,562,2025-12-29,completed,463.03
308,414,2026-06-21,completed,288.88
309,132,2025-10-20,returned,60.48
310,67,2026-05-31,completed,496.4
311,778,2026-01-21,returned,159.52
312,791,2026-02-03,returned,234.89
313,890,2025-11-15,returned,167.09
314,129,2025-12-05,returned,458.31
315,187,2026-03-13,completed,60.54
316,761,2026-04-02,returned,73.05
317,649,2025-10-16,cancelled,132.02
318,156,2026-06-27,completed,107.85
319,322,2025-11-18,completed,210.53
320,23,2025-06-28,returned,192.08
321,129,2026-03-27,returned,16.08
322,970,2026-06-20,returned,366.69
323,961,2026-05-13,cancelled,109.01
324,489,2025-10-23,returned,435.58
325,429,2025-12-05,completed,109.61
326,969,2026-04-18,completed,466.63
327,953,2025-12-01,cancelled,249.18
328,785,2026-04-04,completed,98.79
329,316,2026-03-29,completed,311.84
330,856,2025-11-18,returned,348.32
331,262,2026-03-06,cancelled,422.83
332,284,2026-01-11,returned,314.86
333,289,2026-02-09,cancelled,457.26
334,919,2025-09-02,completed,372.17
335,905,2025-08-03,cancelled,201.71
336,195,2026-02-08,cancelled,276.73
337,58,2025-12-04,completed,49.75
338,727,2026-03-23,completed,467.71
339,329,2026-02-10,cancelled,444.43
340,712,2025-07-26,completed,91.3
341,68,2025-09-16,returned,197.68
342,3,2025-09-03,completed,167.08
343,39,2025-07-19,returned,395.23
344,236,2026-05-08,cancelled,407.06
345,139,2026-03-12,returned,482.57
346,418,2025-08-05,completed,196.85
347,226,2026-03-15,returned,74.67
348,854,2025-09-04,returned,481.99
349,44,2025-08-12,completed,13.29
350,105,2026-01-26,completed,77.66
351,879,2026-02-05,completed,80.9
352,263,2025-11-27,returned,364.1
353,681,2025-11-20,cancelled,409.15
354,847,2025-11-19,returned,132.04
355,803,2026-01-28,completed,102.8
356,320,2025-08-27,cancelled,353.0
357,326,2026-01-03,cancelled,253.46
358,796,2026-03-11,returned,203.78
359,368,2025-11-21,returned,235.55
360,607,2026-04-18,completed,363.9
361,464,2025-12-07,returned,170.32
362,689,2025-11-17,returned,148.69
363,916,2026-01-15,completed,317.89
364,891,2025-08-09,completed,124.87
365,856,2026-02-10,completed,277.17
366,626,2025-10-07,completed,273.97
